parent_run_name,Unnamed: 0,Timeseries ID,smape,mase,mae,rmse,mape,nrmse_min_max,nrmse_mean
mlp_county_9,0,34,108.42084884643556,1.9731016,34.04861,58.51415,,0.115469,0.5824654
mlp_county_9,1,35,100.62015056610107,1.9463439,95.59287,165.58644,,0.11029537,0.5803301
mlp_county_9,2,36,117.40669012069702,1.4567213,15.630156,26.369818,,0.10602125,0.6208953
mlp_county_9,3,37,109.23067331314088,2.1577628,48.616096,89.15001,,0.09466289,0.626054
mlp_county_9,4,134,30.822134017944336,1.019462,10.167755,13.504977,,0.09978408,0.28551593
mlp_county_9,5,135,28.79674732685089,1.2066803,29.249876,38.10417,,0.12490058,0.2791286
mlp_county_9,6,136,34.84207093715668,0.46453762,10.782024,13.5367,64.89588618278503,0.14191347,0.34238487
mlp_county_9,7,137,23.691976070404053,0.7355951,53.01934,69.944954,26.51556432247162,0.12108074,0.28275976
mlp_county_8,0,31,117.10587739944458,3.4593153,18.096357,31.558794,,0.111776635,0.7010052
mlp_county_8,1,32,114.70208168029784,1.9718965,68.74726,121.31216,,0.13103183,0.6661733
mlp_county_8,2,33,121.7887282371521,4.6543818,142.29105,283.63464,,0.12620226,0.97733706
mlp_county_8,3,131,32.848361134529114,1.5430557,6.0269976,7.985971,,0.13186003,0.33062145
mlp_county_8,4,132,34.40859615802765,1.0920818,13.91607,18.040035,,0.115209214,0.30185145
mlp_county_8,5,133,18.749946355819706,1.1822311,63.183903,85.16321,21.037089824676517,0.12463461,0.22318006
mlp_county_7,0,25,109.21474695205688,2.5330465,64.44004,107.170456,,0.12541656,0.62262154
mlp_county_7,1,27,106.76038265228271,2.4485664,205.64302,338.68512,,0.11723216,0.6171304
mlp_county_7,2,28,138.90347480773926,3.649849,126.49546,345.2098,,0.08765412,2.0336902
mlp_county_7,3,29,126.30419731140135,2.3137157,73.71471,144.87811,,0.11550883,1.0015464
mlp_county_7,4,30,112.80921697616576,1.9417367,113.818115,199.22975,,0.10591429,0.64892215
mlp_county_7,5,125,28.690099716186523,1.4290917,20.453445,26.7402,32.793501019477844,0.11588537,0.31184477
mlp_county_7,6,127,29.40666675567627,1.3055499,45.66713,59.5335,35.35839319229126,0.12027116,0.2864775
mlp_county_7,7,128,42.94292032718658,0.8266594,117.78403,153.77591,,0.15374085,0.42259857
mlp_county_7,8,129,48.91456961631775,1.0882457,185.18483,232.57239,215.42160511016849,0.16182113,0.45678124
mlp_county_7,9,130,16.485293209552765,0.53754973,117.65183,166.672,17.47911423444748,0.11720445,0.22549869
mlp_county_6,0,24,126.47255659103394,2.1543818,11.15255,22.469603,,0.09408948,1.0025756
mlp_county_6,1,124,41.10485315322876,0.71981406,48.346077,66.952545,71.66433930397034,0.15385623,0.49499562
mlp_county_5,0,19,109.57092046737672,2.741567,37.960667,56.830105,,0.12588851,0.6532975
mlp_county_5,1,20,113.69730234146118,2.824413,159.35982,233.02504,,0.124020666,0.6346644
mlp_county_5,2,21,126.01559162139893,,37.93056,48.987434,,0.15663998,0.9508907
mlp_county_5,3,22,128.87206077575684,3.5402331,35.920525,56.008907,,0.12681483,0.8946507
mlp_county_5,4,23,117.042338848114,1.9355705,188.05898,293.39487,,0.11996699,0.6580135
mlp_county_5,5,119,31.967416405677795,1.7201607,15.584582,19.827433,43.516239523887634,0.13985042,0.35966107
mlp_county_5,6,120,36.84367537498474,1.8491439,41.441143,50.797497,55.29017448425293,0.15341115,0.36985642
mlp_county_5,7,121,43.077027797698975,,58.25871,75.30764,,0.17385279,0.47195113
mlp_county_5,8,122,38.071462512016296,0.89292455,48.342827,61.621487,125.66381692886353,0.14440529,0.42254487
mlp_county_5,9,123,22.65603244304657,1.3286735,215.51778,276.42136,29.51168119907379,0.14613678,0.2394473
mlp_county_4,0,15,117.54722595214844,3.3167114,19.692049,33.083927,,0.13187993,0.73632205
mlp_county_4,1,16,115.65351486206056,2.134147,53.75271,88.237915,,0.124942,0.6694243
mlp_county_4,2,17,143.55294704437256,1.4672936,65.38527,110.83132,,0.09327689,1.0392264
mlp_county_4,3,18,118.98818016052246,1.7729627,68.150444,115.1288,,0.10417,0.69062394
mlp_county_4,4,115,36.57328188419342,1.7427933,5.53706,7.134246,63.73482346534729,0.12559408,0.35852396
mlp_county_4,5,116,32.48641490936279,1.1733377,11.103658,15.131133,45.40627300739288,0.06320308,0.34397924
mlp_county_4,6,117,40.64102470874786,0.675772,145.96002,191.11012,,0.15340894,0.3923023
mlp_county_4,7,118,17.279623448848724,0.5879174,108.27753,142.29796,20.24681866168976,0.1165833,0.21957032
mlp_county_3,0,11,99.22069907188416,2.2317414,25.084793,40.760937,,0.1244776,0.6491734
mlp_county_3,1,12,107.35381841659546,3.2028162,116.316124,190.46587,,0.1561234,0.79846704
mlp_county_3,2,13,116.31791591644289,1.5326176,11.889317,20.009245,,0.123520724,0.7059411
mlp_county_3,3,14,117.08970069885254,1.8666725,118.909225,199.93747,,0.126898,0.7029989
mlp_county_3,4,111,31.599095463752747,1.116323,7.5665483,9.721521,,0.10628446,0.31138125
mlp_county_3,5,112,40.03362655639648,1.2512122,20.265774,26.32203,,0.12129353,0.31761026
mlp_county_3,6,113,33.7546169757843,0.46693262,9.793901,14.396044,67.61508584022522,0.14571041,0.49010256
mlp_county_3,7,114,21.999558806419373,0.757148,122.22597,172.05786,29.923537373542786,0.11205186,0.24473342
mlp_county_2,0,9,112.61794567108154,2.9813018,63.234604,88.445465,,0.123118795,0.671824
mlp_county_2,1,10,118.3451771736145,1.7129838,45.680172,66.69686,,0.12394306,0.7675606
mlp_county_2,2,109,44.11227107048035,1.6719902,16.66164,20.325125,89.93915915489197,0.16126315,0.4128488
